Date,,Confirmed,Deceased,Recovered,State_Name
01-Apr-20,,32,0,0,Delhi
01-Aug-20,,1118,26,1201,Delhi
01-Jul-20,,2442,61,1644,Delhi
01-Jun-20,,990,50,268,Delhi
01-May-20,,223,2,73,Delhi
02-Apr-20,,141,2,2,Delhi
02-Aug-20,,961,15,1186,Delhi
02-Jul-20,,2373,61,3015,Delhi
02-Jun-20,,1298,33,497,Delhi
02-May-20,,384,3,89,Delhi
03-Apr-20,,93,2,0,Delhi
03-Aug-20,,805,17,937,Delhi
03-Jul-20,,2520,59,2617,Delhi
03-Jun-20,,1513,59,299,Delhi
03-May-20,,427,0,106,Delhi
04-Apr-20,,59,0,8,Delhi
04-Aug-20,,674,12,972,Delhi
04-Jul-20,,2505,81,2632,Delhi
04-Jun-20,,1359,44,356,Delhi
04-May-20,,349,0,69,Delhi
05-Apr-20,,58,1,0,Delhi
05-Aug-20,,1076,11,890,Delhi
05-Jul-20,,2244,63,3083,Delhi
05-Jun-20,,1330,49,417,Delhi
05-May-20,,206,0,37,Delhi
06-Apr-20,,22,0,0,Delhi
06-Aug-20,,1299,15,1008,Delhi
06-Jul-20,,1379,48,749,Delhi
06-Jun-20,,1320,53,349,Delhi
06-May-20,,428,1,74,Delhi
07-Apr-20,,51,2,4,Delhi
07-Jul-20,,2008,50,2129,Delhi
07-Jun-20,,1282,51,335,Delhi
07-May-20,,448,1,389,Delhi
08-Apr-20,,93,0,1,Delhi
08-Jul-20,,2033,48,3982,Delhi
08-Jun-20,,1007,62,358,Delhi
08-May-20,,338,2,89,Delhi
09-Apr-20,,51,3,4,Delhi
09-Jul-20,,2187,45,4027,Delhi
09-Jun-20,,1366,31,504,Delhi
09-May-20,,224,0,0,Delhi
10-Apr-20,,183,2,2,Delhi
10-Jul-20,,2089,42,2468,Delhi
10-Jun-20,,1501,79,384,Delhi
10-May-20,,381,5,49,Delhi
11-Apr-20,,166,5,0,Delhi
11-Jul-20,,1781,34,2998,Delhi
11-Jun-20,,1877,101,486,Delhi
11-May-20,,310,0,60,Delhi
12-Apr-20,,85,5,1,Delhi
12-Jul-20,,1573,37,2276,Delhi
12-Jun-20,,2137,129,667,Delhi
12-May-20,,406,13,383,Delhi
13-Apr-20,,356,4,3,Delhi
13-Jul-20,,1246,40,1344,Delhi
13-Jun-20,,2134,57,1547,Delhi
13-May-20,,359,20,346,Delhi
14-Apr-20,,51,2,0,Delhi
14-Jul-20,,1606,35,1924,Delhi
14-Jun-20,,2224,56,878,Delhi
14-Mar-20,,7,1,1,Delhi
14-May-20,,472,9,187,Delhi
15-Apr-20,,17,2,10,Delhi
15-Jul-20,,1647,41,2463,Delhi
15-Jun-20,,1647,73,604,Delhi
15-Mar-20,,0,0,1,Delhi
15-May-20,,425,8,473,Delhi
16-Apr-20,,62,6,11,Delhi
16-Jul-20,,1652,58,1994,Delhi
16-Jun-20,,1859,437,73,Delhi
16-Mar-20,,0,0,0,Delhi
16-May-20,,438,6,408,Delhi
17-Apr-20,,67,4,20,Delhi
17-Jul-20,,1462,26,1608,Delhi
17-Jun-20,,2414,67,957,Delhi
17-Mar-20,,1,0,0,Delhi
17-May-20,,422,19,276,Delhi
18-Apr-20,,186,1,135,Delhi
18-Jul-20,,1475,26,1973,Delhi
18-Jun-20,,2877,65,3884,Delhi
18-Mar-20,,2,0,0,Delhi
18-May-20,,299,12,283,Delhi
19-Apr-20,,110,2,83,Delhi
19-Jul-20,,1211,31,1860,Delhi
19-Jun-20,,3137,66,2228,Delhi
19-Mar-20,,4,0,1,Delhi
19-May-20,,500,6,265,Delhi
20-Apr-20,,78,2,141,Delhi
20-Jul-20,,954,35,1784,Delhi
20-Jun-20,,3630,77,7725,Delhi
20-Mar-20,,6,0,2,Delhi
20-May-20,,534,10,442,Delhi
21-Apr-20,,75,0,180,Delhi
21-Jul-20,,1349,27,1200,Delhi
21-Jun-20,,3000,63,1719,Delhi
21-Mar-20,,7,0,0,Delhi
21-May-20,,571,18,375,Delhi
22-Apr-20,,92,1,113,Delhi
22-Jul-20,,1227,29,1532,Delhi
22-Jun-20,,2909,58,3589,Delhi
22-Mar-20,,0,0,0,Delhi
22-May-20,,660,14,330,Delhi
23-Apr-20,,128,2,84,Delhi
23-Jul-20,,1041,26,1415,Delhi
23-Jun-20,,3947,68,2711,Delhi
23-Mar-20,,3,0,0,Delhi
23-May-20,,591,23,370,Delhi
24-Apr-20,,138,3,49,Delhi
24-Jul-20,,1025,32,1866,Delhi
24-Jun-20,,3788,64,2124,Delhi
24-Mar-20,,0,0,1,Delhi
24-May-20,,508,30,273,Delhi
25-Apr-20,,111,1,12,Delhi
25-Jul-20,,1142,29,2137,Delhi
25-Jun-20,,3390,64,3328,Delhi
25-Mar-20,,5,0,0,Delhi
25-May-20,,635,15,231,Delhi
26-Apr-20,,293,0,8,Delhi
26-Jul-20,,1075,21,1807,Delhi
26-Jun-20,,3460,63,2326,Delhi
26-Mar-20,,1,0,0,Delhi
26-May-20,,412,12,183,Delhi
27-Apr-20,,190,0,0,Delhi
27-Jul-20,,613,26,1497,Delhi
27-Jun-20,,2948,66,2210,Delhi
27-Mar-20,,4,0,0,Delhi
27-May-20,,792,15,310,Delhi
28-Apr-20,,206,0,201,Delhi
28-Jul-20,,1056,28,1135,Delhi
28-Jun-20,,2889,65,3306,Delhi
28-Mar-20,,9,0,0,Delhi
28-May-20,,1024,13,231,Delhi
29-Apr-20,,125,2,14,Delhi
29-Jul-20,,1035,26,1126,Delhi
29-Jun-20,,2084,57,3628,Delhi
29-Mar-20,,23,1,0,Delhi
29-May-20,,1105,82,351,Delhi
30-Apr-20,,76,3,2,Delhi
30-Jul-20,,1093,29,1091,Delhi
30-Jun-20,,2199,62,2113,Delhi
30-Mar-20,,25,0,0,Delhi
30-May-20,,1163,18,229,Delhi
31-Jul-20,,1195,27,1206,Delhi
31-Mar-20,,23,0,0,Delhi
31-May-20,,1295,57,403,Delhi