Date,Confirmed,Deceased,Recovered,State_Name
01-Jul-20,35,0,47,Jharkhand
02-Jul-20,60,0,57,Jharkhand
03-Jul-20,112,0,13,Jharkhand
04-Jul-20,42,3,34,Jharkhand
05-Jul-20,68,1,10,Jharkhand
06-Jul-20,47,1,23,Jharkhand
07-Jul-20,164,2,36,Jharkhand
08-Jul-20,116,0,66,Jharkhand
09-Jul-20,134,1,40,Jharkhand
10-Jul-20,250,0,14,Jharkhand
11-Jul-20,145,1,32,Jharkhand
12-Jul-20,97,7,52,Jharkhand
13-Jul-20,203,2,43,Jharkhand
14-Jul-20,262,3,77,Jharkhand
15-Jul-20,337,2,57,Jharkhand
16-Jul-20,221,4,28,Jharkhand
17-Jul-20,313,4,64,Jharkhand
18-Jul-20,289,2,79,Jharkhand
19-Jul-20,167,1,62,Jharkhand
20-Jul-20,225,4,117,Jharkhand
21-Jul-20,418,8,107,Jharkhand
22-Jul-20,487,3,106,Jharkhand
23-Jul-20,482,3,206,Jharkhand
24-Jul-20,400,9,100,Jharkhand
25-Jul-20,277,7,167,Jharkhand
26-Jul-20,508,0,183,Jharkhand
27-Jul-20,454,7,101,Jharkhand
28-Jul-20,760,4,179,Jharkhand
29-Jul-20,331,5,77,Jharkhand
30-Jul-20,505,4,115,Jharkhand
31-Jul-20,915,3,167,Jharkhand