Day,Confirmed,Deceased,Recovered,State_Name
1,251,1,164,Odisha
2,229,2,149,Odisha
3,561,2,203,Odisha
4,495,6,229,Odisha
5,469,3,290,Odisha
6,456,2,262,Odisha
7,571,6,217,Odisha
8,527,7,303,Odisha
9,577,6,401,Odisha
10,755,6,565,Odisha
11,570,6,388,Odisha
12,595,5,390,Odisha
13,616,7,505,Odisha
14,543,5,609,Odisha
15,618,5,612,Odisha
16,494,2,401,Odisha
17,718,6,453,Odisha
18,591,3,607,Odisha
19,736,7,516,Odisha
20,673,6,457,Odisha
21,647,8,400,Odisha
22,1078,6,440,Odisha
23,1264,6,643,Odisha
24,1594,8,808,Odisha
25,1320,10,728,Odisha
26,1376,11,864,Odisha
27,1503,7,581,Odisha
28,1215,8,687,Odisha
29,1068,6,878,Odisha
30,1203,10,807,Odisha
31,1499,9,772,Odisha